Species*,Exp*,Trt*,IrrDate,IrrAmount
bananacol ,COLena,1,19295,7
bananacol ,COLena,1,19296,7
bananacol ,COLena,1,19297,7
bananacol ,COLena,1,19298,7
bananacol ,COLena,1,19299,7
bananacol ,COLena,1,19300,7
bananacol ,COLena,1,19301,7
bananacol ,COLena,1,19302,7
bananacol ,COLena,1,19303,7
bananacol ,COLena,1,19304,7
bananacol ,COLena,1,19305,7
bananacol ,COLena,1,19306,7
bananacol ,COLena,1,19307,7
bananacol ,COLena,1,19308,7
bananacol ,COLena,1,19309,7
bananacol ,COLena,1,19310,7
bananacol ,COLena,1,19311,7
bananacol ,COLena,1,19312,7
bananacol ,COLena,1,19313,7
bananacol ,COLena,1,19314,7
bananacol ,COLena,1,19315,7
bananacol ,COLena,1,19316,7
bananacol ,COLena,1,19317,7
bananacol ,COLena,1,19318,7
bananacol ,COLena,1,19319,7
bananacol ,COLena,1,19320,7
bananacol ,COLena,1,19321,7
bananacol ,COLena,1,19322,7
bananacol ,COLena,1,19323,7
bananacol ,COLena,1,19324,7
bananacol ,COLena,1,19325,7
bananacol ,COLena,1,19326,7
bananacol ,COLena,1,19327,7
bananacol ,COLena,1,19328,7
bananacol ,COLena,1,19329,7
bananacol ,COLena,1,19330,7
bananacol ,COLena,1,19331,7
bananacol ,COLena,1,19332,7
bananacol ,COLena,1,19333,7
bananacol ,COLena,1,19334,7
bananacol ,COLena,1,19335,7
bananacol ,COLena,1,19336,7
bananacol ,COLena,1,19337,7
bananacol ,COLena,1,19338,7
bananacol ,COLena,1,19339,7
bananacol ,COLena,1,19340,7
bananacol ,COLena,1,19341,7
bananacol ,COLena,1,19342,7
bananacol ,COLena,1,19343,7
bananacol ,COLena,1,19344,7
bananacol ,COLena,1,19345,7
bananacol ,COLena,1,19346,7
bananacol ,COLena,1,19347,7
bananacol ,COLena,1,19348,7
bananacol ,COLena,1,19349,7
bananacol ,COLena,1,19350,7
bananacol ,COLena,1,19351,7
bananacol ,COLena,1,19352,7
bananacol ,COLena,1,19353,7
bananacol ,COLena,1,19354,7
bananacol ,COLena,1,19355,7
bananacol ,COLena,1,19356,7
bananacol ,COLena,1,19357,7
bananacol ,COLena,1,19358,7
bananacol ,COLena,1,19359,7
bananacol ,COLena,1,19360,7
bananacol ,COLena,1,19361,7
cocoa,KOKOlatl,1,19001,7
cocoa,KOKOlatl,1,19002,7
cocoa,KOKOlatl,1,19003,7
cocoa,KOKOlatl,1,19004,7
cocoa,KOKOlatl,1,19005,7
cocoa,KOKOlatl,1,19006,7
cocoa,KOKOlatl,1,19007,7
cocoa,KOKOlatl,1,19008,7
cocoa,KOKOlatl,1,19009,7
cocoa,KOKOlatl,1,19010,7
cocoa,KOKOlatl,1,19011,7
cocoa,KOKOlatl,1,19012,7
cocoa,KOKOlatl,1,19013,7
cocoa,KOKOlatl,1,19014,7
cocoa,KOKOlatl,1,19015,7
cocoa,KOKOlatl,1,19016,7
cocoa,KOKOlatl,1,19017,7
cocoa,KOKOlatl,1,19018,7
cocoa,KOKOlatl,1,19019,7
cocoa,KOKOlatl,1,19020,7
cocoa,KOKOlatl,1,19021,7
cocoa,KOKOlatl,1,19022,7
cocoa,KOKOlatl,1,19023,7
cocoa,KOKOlatl,1,19024,7
cocoa,KOKOlatl,1,19025,7
cocoa,KOKOlatl,1,19026,7
cocoa,KOKOlatl,1,19027,7
cocoa,KOKOlatl,1,19028,7
cocoa,KOKOlatl,1,19029,7
cocoa,KOKOlatl,1,19030,7
cocoa,KOKOlatl,1,19031,7
cocoa,KOKOlatl,1,19032,7
cocoa,KOKOlatl,1,19033,7
cocoa,KOKOlatl,1,19034,7
cocoa,KOKOlatl,1,19035,7
cocoa,KOKOlatl,1,19036,7
cocoa,KOKOlatl,1,19037,7
cocoa,KOKOlatl,1,19038,7
cocoa,KOKOlatl,1,19039,7
cocoa,KOKOlatl,1,19040,7
cocoa,KOKOlatl,1,19041,7
cocoa,KOKOlatl,1,19042,7
cocoa,KOKOlatl,1,19043,7
cocoa,KOKOlatl,1,19044,7
cocoa,KOKOlatl,1,19045,7
cocoa,KOKOlatl,1,19046,7
cocoa,KOKOlatl,1,19047,7
cocoa,KOKOlatl,1,19048,7
cocoa,KOKOlatl,1,19049,7
cocoa,KOKOlatl,1,19050,7
cocoa,KOKOlatl,1,19051,7
cocoa,KOKOlatl,1,19052,7
cocoa,KOKOlatl,1,19053,7
cocoa,KOKOlatl,1,19054,7
cocoa,KOKOlatl,1,19055,7
cocoa,KOKOlatl,1,19056,7
cocoa,KOKOlatl,1,19057,7
cocoa,KOKOlatl,1,19058,7
cocoa,KOKOlatl,1,19059,7
cocoa,KOKOlatl,1,19060,7
cocoa,KOKOlatl,1,19061,7
cocoa,KOKOlatl,1,19062,7
cocoa,KOKOlatl,1,19063,7
