YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2018,9,2,2.52,1.25,23.15,20.5,26.66,20.44,0,86.5,02 September 2018
2018,9,3,1.91,1.48,23.58,18.93,27.83,20.47,5.27,77.44,03 September 2018
2018,9,4,1.69,1.43,22.75,20.08,26.72,19.85,0,86.75,04 September 2018
2018,9,5,2.15,1.2,22.76,20.04,26.59,19.87,26.37,86.44,05 September 2018
2018,9,6,1.78,1.3,22.55,20.78,25.87,20.01,10.55,90.88,06 September 2018
2018,9,7,1.41,1.09,22.95,20.83,27.18,19.92,5.27,89.38,07 September 2018
2018,9,8,2.57,1.19,22.93,20.72,26.64,20.32,5.27,88.81,08 September 2018
2018,9,9,2.42,0.98,23.19,20.15,26.97,20.52,0,85.19,09 September 2018
2018,9,10,2.53,1.05,23.69,20.82,28.04,20.83,5.27,85.75,10 September 2018
2018,9,11,2.15,0.96,23.3,21.67,26.67,21.12,0,91.5,11 September 2018
2018,9,12,1.31,0.87,23.62,21.58,27.51,21.3,10.55,89.5,12 September 2018
2018,9,13,2.78,0.96,23.53,21.16,27,20.8,5.27,87.62,13 September 2018
2018,9,14,2.05,1.14,23.92,21.17,28.11,21.37,5.27,86.25,14 September 2018
2018,9,15,1.44,1.19,22.9,20.71,27.01,19.78,15.82,89.06,15 September 2018
2018,9,16,3.02,1.36,23.75,20.01,28.37,20.4,0,81.5,16 September 2018
2018,9,17,1.35,1.11,22.35,20.73,24.62,20.55,10.55,91.56,17 September 2018
2018,9,18,2.98,1.01,22.48,19.69,26.72,18.68,10.55,86.19,18 September 2018
2018,9,19,2.6,1.28,23.49,20.65,27.87,19.35,0,86,19 September 2018
2018,9,20,3.02,1.12,23.8,20.92,27.58,21.12,0,85.62,20 September 2018
2018,9,21,2.65,1.26,23.15,20.53,26.54,20.69,0,86.81,21 September 2018
2018,9,22,2.24,1.09,23.47,20.81,27.29,20.73,5.27,86.62,22 September 2018
2018,9,23,2.36,1.22,23.62,20.63,27.73,20.57,0,85.44,23 September 2018
2018,9,24,2.44,1.16,23.32,20.48,26.66,21.01,0,85.5,24 September 2018
2018,9,25,2.7,1.29,23.83,20.75,28.12,19.74,0,85.12,25 September 2018
2018,9,26,2.68,0.91,23.38,20.3,27.58,20.77,5.27,84.94,26 September 2018
2018,9,27,2.1,1.19,22.8,20.33,26.65,20,21.09,87.56,27 September 2018
2018,9,28,2.19,1.14,22.83,20.22,26.69,19.86,10.55,86.75,28 September 2018
2018,9,29,2.95,1.4,23.76,20.69,28.01,20.91,5.27,84.69,29 September 2018
2018,9,30,2.4,1.12,23.41,21.51,26.73,21.3,0,90.31,30 September 2018
2018,10,1,1.62,1.32,23.62,21.48,26.73,21.45,10.55,89.12,01 October 2018
2018,10,2,2.54,1.37,23.17,19.89,28.08,19.19,5.27,84,02 October 2018
2018,10,3,2.54,1.16,23.51,20.83,27.08,21.5,15.82,86.25,03 October 2018
2018,10,4,2.55,1.2,23.44,20.62,27.52,20.5,10.55,86,04 October 2018
2018,10,5,2.46,1.26,23.21,21.15,26.38,20.36,21.09,89.38,05 October 2018
2018,10,6,1.78,0.88,22.9,21.34,25.72,20.96,10.55,92.06,06 October 2018
2018,10,7,2.92,1.13,22.93,20.46,26.87,19.78,5.27,87.5,07 October 2018
2018,10,8,2.84,1.12,23.65,21.32,27.37,20.69,0,88.12,08 October 2018
2018,10,9,2.61,0.91,23.71,20.9,27.76,20.26,10.55,86.06,09 October 2018
2018,10,10,2.81,1.26,23.34,21.01,27.46,20.02,0,88.5,10 October 2018
2018,10,11,2.55,1.11,23.21,19.4,27.36,20.17,0,81.19,11 October 2018
